编号,关联标题编号,评论内容,平台
1,139,这么努力，谁还好意思提意见,江川论坛
2,96,多亏了这政策，才明白什么叫难,示例微博
3,202,可以的，一如既往地稳定,示例微博
4,244,这个方案征求过居民意见吗？,云岭客户端
5,54,精彩，鼓掌,视频号评论区
6,83,希望不是临时应付检查,视频号评论区
7,35,老百姓的意见好像不重要,江川论坛
8,268,绝了，每次都赶在问题之前解决,云岭客户端
9,26,深刻体会到了什么叫服务,视频号评论区
10,88,这个数字是怎么统计出来的,视频号评论区
11,54,等着看后续,云岭客户端
12,89,说是整改，实际上没什么变化,江川论坛
13,79,并非毫无价值,示例微博
14,174,问号脸,江川论坛
15,195,按流程应该还要审批,视频号评论区
16,235,效率挺高，当天就回复了,视频号评论区
17,108,谁来监督？,示例微博
18,75,再看两天吧,视频号评论区
19,224,破防了,云岭客户端
20,32,离谱,示例微博
21,148,能不能延长服务时间,江川论坛
22,51,真的栓Q,视频号评论区
23,196,投诉三次了，没有一次回复,视频号评论区
24,198,不能说完全没有考虑,江川论坛
25,140,希望把标准写清楚,云岭客户端
26,278,每次都是这个说法，听腻了,视频号评论区
27,172,先不评论,云岭客户端
28,199,这种回复太敷衍了,视频号评论区
29,120,两个说法不太一样，等官方口径,江川论坛
30,56,钱花了，账不公开,示例微博
31,229,希望有第三方参与,云岭客户端
32,107,能不能解释一下这个数字？,云岭客户端
33,53,这么贴心，感动得说不出话,云岭客户端
34,210,这条我转发了，身边人都说好,视频号评论区
35,170,不好说，各有各的道理,江川论坛
36,223,这才是办实事的样子,示例微博
37,66,不得不承认有进步,视频号评论区
38,182,不清楚其他城市是什么做法,视频号评论区
39,168,关注后续进展,视频号评论区
40,181,为这样的举措鼓掌,示例微博
41,185,和去年的方案对比一下更清楚,示例微博
42,257,一到下班时间就找不到人,示例微博
43,202,沉默,视频号评论区
44,13,绝了,视频号评论区
45,287,终于不用跑好几个窗口了,云岭客户端
46,110,等了半年，还是老样子,云岭客户端
47,190,前面的承诺现在还算数吗,视频号评论区
48,116,说是免费，进去还是要收费,示例微博
49,68,相关的标准文件在哪儿能查,江川论坛
50,5,不是没有必要,云岭客户端
51,73,盼了好几年，总算落地了,云岭客户端
52,249,做得好，看得见摸得着,云岭客户端
53,159,建议公开整改进度,示例微博
54,263,是否考虑过成本问题？,视频号评论区
55,33,能不能先解决最急的问题,云岭客户端
56,70,不是没办法解决,云岭客户端
57,279,没有理由不支持,视频号评论区
58,56,情况还在观察中,视频号评论区
59,106,现在说结论太早,视频号评论区
60,257,公布得挺快，落实得挺慢,示例微博
61,113,给基层的同志们道声辛苦,云岭客户端
62,180,说到底还是钱的问题,江川论坛
63,136,太好了，下回还这样,示例微博
64,186,为什么不能早点做？,视频号评论区
65,152,目前只是试点阶段,云岭客户端
66,54,血压上来了,江川论坛
67,87,手头没有更多信息,视频号评论区
68,129,看傻了,示例微博
69,150,具体怎么执行，还没看到细则,云岭客户端
70,263,好一个为民着想,云岭客户端
71,132,实实在在的改善,示例微博
72,241,很有诚意，诚意都在文件里,云岭客户端
73,125,好得很，好得让人无话可说,示例微博
74,213,希望能一直坚持做下去,示例微博
75,248,果然是高水平操作,视频号评论区
76,151,为什么只有这一条路,视频号评论区
77,9,这个必须支持,江川论坛
78,237,下次能不能提前通知？,视频号评论区
79,105,先收藏，慢慢看,视频号评论区
80,93,建议增加一个反馈渠道,云岭客户端
81,31,具体什么时候能落实？,视频号评论区
82,244,麻了,示例微博
83,204,终于等到了555,云岭客户端
84,70,笑不出来,视频号评论区
85,160,这属于常规安排吧,视频号评论区
86,263,能不能把时间表贴出来,江川论坛
87,249,不是说不行,江川论坛
88,263,进步很大，从零分进步到一分,视频号评论区
89,51,建议分阶段推进,示例微博
90,154,真棒，我都不知道该说什么了,视频号评论区
91,68,宣传和现实差得有点远,云岭客户端
92,101,这是新一轮的调整吗,江川论坛
93,229,这种做法治标不治本,江川论坛
94,152,感谢，让我见识了什么叫效率,江川论坛
95,105,完美，问题一点没变,示例微博
96,287,能不能增加一些标识,示例微博
97,134,好家伙,江川论坛
98,125,这速度，乌龟都得让路,视频号评论区
99,92,想知道覆盖范围有多大,云岭客户端
100,279,问题反映了一个月，一个字没回,视频号评论区
101,234,改是改了，改得不像样,江川论坛
102,269,高，实在是高,视频号评论区
103,247,别光开会，做点实事行不行,视频号评论区
104,105,这波我站不住,视频号评论区
105,186,不见得不合理,示例微博
106,245,不能说没有变化,江川论坛
107,123,看具体条款再说,云岭客户端
108,125,变化是有的，多少不好说,视频号评论区
109,128,能不能把进度公开？,视频号评论区
110,234,能不能先把最急的那件事办了,示例微博
111,26,这波我服,云岭客户端
112,65,并非不重要,江川论坛
113,189,办得好，希望继续保持,江川论坛
114,219,顶上去让更多人看见,示例微博
115,47,不是没有改进的空间,江川论坛
116,196,能不能公布联系方式？,云岭客户端
117,232,不能说没有诚意,视频号评论区
118,226,别的地方早做了，我们这儿才想起来,示例微博
119,165,先码住,示例微博
120,161,想问一下经费由谁出,视频号评论区
121,47,我直接一个好家伙,示例微博
122,226,有没有考虑过老人怎么办？,云岭客户端
123,167,新规出来配套跟不上，反而更麻烦,视频号评论区
124,222,实实在在解决了问题,示例微博
125,82,冲！,视频号评论区
126,286,这谁顶得住,视频号评论区
127,267,看起来是个长期的事,江川论坛
128,55,拍手叫好！,云岭客户端
