编号,标题,类别,判定依据,标注人,是否边界情况,备注
1,江川市青少年科技节开幕，120件作品参展,,,,,
2,东河县启用86个社区服务站，居民办事平均少跑240公里,,,,,
3,云岭市新增18所公办幼儿园，学位增加240个,,,,,
4,南屏市青少年科技节开幕，60件作品参展,,,,,
5,南屏市新增26处城市书房，全部免费开放,,,,,
6,江川市开展物业费收缴争议专项整治，已处理32件,,,,,
7,东河县空气质量优良天数比例达120%,,,,,
8,东河县公布32项民生实事清单，菜市场升级排在第一项,,,,,
9,东河县跨江大桥主塔封顶，预计11月通车,,,,,
10,云岭市公交线路优化调整，涉及18条线路,,,,,
11,云岭市建成20个一刻钟便民生活圈,,,,,
12,云岭市建设高标准农田240亩，亩均增产86%,,,,,
13,南屏市开展老旧电梯故障专项整治，已处理45件,,,,,
14,白汀区建成9个一刻钟便民生活圈,,,,,
15,黄海燕：科学教育不能只停留在做实验,,,,,
16,杨文博代表建议：把无障碍设施修缮纳入明年财政预算,,,,,
17,张海燕：科学教育不能只停留在做实验,,,,,
18,学校周边限时停车新规实施，家长接送需重新规划路线,,,,,
19,生物医药价格连续1月回落，市场供应充足,,,,,
20,云岭市生活垃圾分类覆盖9个小区,,,,,
21,江川市查处环境违法案件15起,,,,,
22,东河县高校科研成果转化金额达32万元,,,,,
23,江川市推广节水灌溉240亩，用水量下降15%,,,,,
24,云岭市推出教师减负清单，压减9项非教学任务,,,,,
25,周建国：科学教育不能只停留在做实验,,,,,
26,周秀兰：科学教育不能只停留在做实验,,,,,
27,石桥镇农村人居环境整治完成3个村,,,,,
28,石桥镇农产品区域公用品牌正式发布,,,,,
29,江川市半程马拉松报名人数突破20人,,,,,
30,云岭市特色农产品产量达15万吨，产值9亿元,,,,,
31,白汀区青少年足球联赛开赛，共26支球队,,,,,
32,白汀区推出教师减负清单，压减5项非教学任务,,,,,
33,白汀区特色农产品产量达120万吨，产值120亿元,,,,,
34,云岭市改造18条背街小巷，雨污分流同步实施,,,,,
35,东河县跨江大桥主塔封顶，预计10月通车,,,,,
36,石桥镇轨道新线开通首日客流达18万人次,,,,,
37,东河县推广节水灌溉86亩，用水量下降26%,,,,,
38,江川市开展公交站点设置专项整治，已处理120件,,,,,
39,东河县9所学校完成智慧教室改造,,,,,
40,东河县整治学校周边拥堵，划设非机动车停放区32处,,,,,
41,石桥镇改造32条背街小巷，雨污分流同步实施,,,,,
42,白汀区新增45处城市书房，全部免费开放,,,,,
43,老字号直播带货，非遗产品单场卖出86万元,,,,,
44,白汀区非遗展演走进7个社区,,,,,
45,石桥镇新建20公里城市绿道，串联9个公园,,,,,
46,江川市公交线路优化调整，涉及86条线路,,,,,
47,云岭市中小学生体质健康优良率提升7个百分点,,,,,
48,云岭市农村人居环境整治完成240个村,,,,,
49,江川市12所学校完成智慧教室改造,,,,,
50,云岭市推进农村公路提升工程，惠及32个村,,,,,
51,云岭市交通运输局：社区养老助餐办理时限由86天压减至86天,,,,,
52,江川市现代物流产业园开园，首批60家企业入驻,,,,,
53,赵海燕：生物医药要从拼价格转向拼技术,,,,,
54,云岭市轨道新线开通首日客流达9万人次,,,,,
55,高校团队用遥感技术监测农田墒情,,,,,
56,白汀区跨江大桥主塔封顶，预计8月通车,,,,,
57,石桥镇文物保护单位完成15处修缮,,,,,
58,江川市发放消费券20万元，重点投向现代物流,,,,,
59,云岭市原创剧目首演，20名观众到场,,,,,
60,江川市开通民生热线，首月受理共享单车乱停放类诉求60件,,,,,
61,白汀区图书馆新馆开放，日均接待读者18人次,,,,,
62,东河县农村人居环境整治完成86个村,,,,,
63,云岭市开通民生热线，首月受理楼道堆物类诉求7件,,,,,
64,南屏市推进农村公路提升工程，惠及86个村,,,,,
65,南屏市生活垃圾分类覆盖3个小区,,,,,
66,江川市中小学课后服务覆盖率超过20%,,,,,
67,白汀区跨江大桥主塔封顶，预计4月通车,,,,,
68,云岭市举办产销对接会，现场签约20个项目,,,,,
69,周俊杰：电子信息要从拼价格转向拼技术,,,,,
70,云岭市新增3所公办幼儿园，学位增加7个,,,,,
71,白汀区推广节水灌溉15亩，用水量下降120%,,,,,
72,云岭市举办产销对接会，现场签约9个项目,,,,,
73,江川市新增5处社区养老助餐，覆盖7个社区,,,,,
74,陈晓峰：科学教育不能只停留在做实验,,,,,
75,江川市文物保护单位完成7处修缮,,,,,
76,白汀区原创剧目首演，18名观众到场,,,,,
77,东河县跨江大桥主塔封顶，预计1月通车,,,,,
78,云岭市青少年足球联赛开赛，共9支球队,,,,,
79,南屏市新增32处城市书房，全部免费开放,,,,,
80,南屏市查处环境违法案件3起,,,,,
81,云岭市新增污水处理能力120万吨/日,,,,,
82,白汀区新增120处老旧小区改造，覆盖5个社区,,,,,
83,江川市特色农产品产量达240万吨，产值9亿元,,,,,
84,石桥镇青少年科技节开幕，26件作品参展,,,,,
85,南屏市开展小区停车难专项整治，已处理240件,,,,,
86,石桥镇前三季度规上工业增加值同比增长20%,,,,,
87,江川市举办社区运动会，5支队伍参赛,,,,,
88,南屏市生态环境局：就业技能培训办理时限由12天压减至86天,,,,,
89,东河县完成240亩退耕还林，森林覆盖率提升7个百分点,,,,,
90,东河县跨江大桥主塔封顶，预计4月通车,,,,,
91,南屏市高校科研成果转化金额达7万元,,,,,
92,江川市青少年足球联赛开赛，共240支球队,,,,,
93,东河县机场旅客吞吐量重回18万人次,,,,,
94,云岭市前三季度规上工业增加值同比增长240%,,,,,
95,新能源价格连续1月回落，市场供应充足,,,,,
96,东河县代表队省运会摘得9枚金牌,,,,,
97,白汀区新建7公里城市绿道，串联240个公园,,,,,
98,石桥镇开展楼道堆物专项整治，已处理7件,,,,,
99,东河县文旅局回应「公交站点设置」：10月底前完成整改,,,,,
100,云岭市跨境电商出口额突破26亿元,,,,,
101,云岭市新增60处菜市场升级，覆盖240个社区,,,,,
102,社区食堂开进养老院，一餐12元,,,,,
103,云岭市机场旅客吞吐量重回86万人次,,,,,
104,白汀区青少年科技节开幕，32件作品参展,,,,,
105,污水处理厂变身科普基地，周末向公众开放,,,,,
106,南屏市推出教师减负清单，压减60项非教学任务,,,,,
107,江川市举办产销对接会，现场签约32个项目,,,,,
108,白汀区非遗展演走进5个社区,,,,,
109,南屏市卫生健康委：社区养老助餐办理时限由120天压减至120天,,,,,
110,云岭市上半年社会消费品零售总额达86亿元,,,,,
111,杨晓峰代表建议：把菜市场升级纳入明年财政预算,,,,,
112,东河县轨道新线开通首日客流达3万人次,,,,,
113,东河县举办社区运动会，18支队伍参赛,,,,,
114,云岭市新增12处智能停车位，市民扫码即可使用,,,,,
115,东河县农产品区域公用品牌正式发布,,,,,
116,南屏市新增7处城市书房，全部免费开放,,,,,
117,白汀区新增32所公办幼儿园，学位增加18个,,,,,
118,白汀区文旅局：无障碍设施修缮办理时限由86天压减至45天,,,,,
119,南屏市跨境电商出口额突破5亿元,,,,,
120,石桥镇原创剧目首演，5名观众到场,,,,,
121,农产品区域品牌带动农户增收，也带来品质监管难题,,,,,
122,石桥镇文物保护单位完成26处修缮,,,,,
123,石桥镇建设高标准农田12亩，亩均增产60%,,,,,
124,白汀区启用45个社区服务站，居民办事平均少跑60公里,,,,,
